Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Price,Discounted Price,Sleeve,Collar
پیراهن مردانه,https://torkjameh.com/خرید-لباس-مردانه/48543-خرید-لباس-مردانه-پیراهن-مردانه-آقایان-patirti.html,https://torkjameh.com/141820-thickbox_default/خرید-لباس-مردانه-پیراهن-مردانه-آقایان-patirti.jpg,https://torkjameh.com/141819-thickbox_default/خرید-لباس-مردانه-پیراهن-مردانه-آقایان-patirti.jpg,[],[],[],[],[],[],2650000,2650000,[],[]
پیراهن یقه دیپلمات,https://torkjameh.com/خرید-لباس-مردانه/48525-خرید-لباس-مردانه-پیراهن-یقه-دیپلمات-آقایان-hm.html,https://torkjameh.com/141792-thickbox_default/خرید-لباس-مردانه-پیراهن-یقه-دیپلمات-آقایان-hm.jpg,https://torkjameh.com/141791-thickbox_default/خرید-لباس-مردانه-پیراهن-یقه-دیپلمات-آقایان-hm.jpg,[],[],[],[],[],[],6500000,6500000,[], 
پیراهن مردانه,https://torkjameh.com/خرید-لباس-مردانه/48503-خرید-لباس-مردانه-پیراهن-مردانه-آقایان-deepsea.html,https://torkjameh.com/141755-thickbox_default/خرید-لباس-مردانه-پیراهن-مردانه-آقایان-deepsea.jpg,https://torkjameh.com/141754-thickbox_default/خرید-لباس-مردانه-پیراهن-مردانه-آقایان-deepsea.jpg,[],[],[],[],[],[],2100000,2100000,[],[]
پیراهن طرحدار آبی,https://torkjameh.com/خرید-لباس-مردانه/48502-خرید-لباس-مردانه-پیراهن-طرحدار-آبی-آقایان-deepsea.html,https://torkjameh.com/141753-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-آبی-آقایان-deepsea.jpg,https://torkjameh.com/141751-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-آبی-آقایان-deepsea.jpg,[],[],[],[],[],[],1900000,1900000,[],[]
پیراهن طرحدار جدید,https://torkjameh.com/خرید-لباس-مردانه/48501-خرید-لباس-مردانه-پیراهن-طرحدار-جدید-آقایان-deepsea.html,https://torkjameh.com/141830-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-جدید-آقایان-deepsea.jpg,https://torkjameh.com/141829-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-جدید-آقایان-deepsea.jpg,[],[],[],[],[],[],3500000,3500000,[],[]
پیراهن مردانه,https://torkjameh.com/خرید-لباس-مردانه/48486-خرید-لباس-مردانه-پیراهن-مردانه-آقایان-koton.html,https://torkjameh.com/141724-thickbox_default/خرید-لباس-مردانه-پیراهن-مردانه-آقایان-koton.jpg,https://torkjameh.com/141725-thickbox_default/خرید-لباس-مردانه-پیراهن-مردانه-آقایان-koton.jpg,[],[],[],[],[],[],3450000,3450000,[],[]
پیراهن سفید مشکی مردانه,https://torkjameh.com/خرید-لباس-مردانه/48479-خرید-لباس-مردانه-پیراهن-سفید-مشکی-مردانه-آقایان-marc.html,https://torkjameh.com/141712-thickbox_default/خرید-لباس-مردانه-پیراهن-سفید-مشکی-مردانه-آقایان-marc.jpg,[],[],[],[],[],[],[],5800000,5800000,[],[]
پیراهن طرحدار مردانه,https://torkjameh.com/خرید-لباس-مردانه/48478-خرید-لباس-مردانه-پیراهن-طرحدار-مردانه-آقایان-marc.html,https://torkjameh.com/141711-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-مردانه-آقایان-marc.jpg,[],[],[],[],[],[],[],[],[],[],[]
پیراهن طرحدار مردانه,https://torkjameh.com/خرید-لباس-مردانه/48477-خرید-لباس-مردانه-پیراهن-طرحدار-مردانه-آقایان-marc.html,https://torkjameh.com/141710-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-مردانه-آقایان-marc.jpg,[],[],[],[],[],[],[],[],[],[],[]
پیراهن شیک مردانه,https://torkjameh.com/خرید-لباس-مردانه/48476-خرید-لباس-مردانه-پیراهن-شیک-مردانه-آقایان-marc.html,https://torkjameh.com/141709-thickbox_default/خرید-لباس-مردانه-پیراهن-شیک-مردانه-آقایان-marc.jpg,[],[],[],[],[],[],[],5800000,5800000,[],[]
پیراهن چهارخانه جدید,https://torkjameh.com/خرید-لباس-مردانه/48441-خرید-لباس-مردانه-پیراهن-چهارخانه-جدید-آقایان-marc.html,https://torkjameh.com/141647-thickbox_default/خرید-لباس-مردانه-پیراهن-چهارخانه-جدید-آقایان-marc.jpg,[],[],[],[],[],[],[],10000000,10000000,[],[]
پیراهن طرحدار شیک مردانه,https://torkjameh.com/خرید-لباس-مردانه/48440-خرید-لباس-مردانه-پیراهن-طرحدار-شیک-مردانه-آقایان-marc.html,https://torkjameh.com/141646-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-شیک-مردانه-آقایان-marc.jpg,https://torkjameh.com/141645-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-شیک-مردانه-آقایان-marc.jpg,[],[],[],[],[],[],8900000,8900000,[],[]
پیراهن خاص مردانه,https://torkjameh.com/خرید-لباس-مردانه/48439-خرید-لباس-مردانه-پیراهن-خاص-مردانه-آقایان-marc.html,https://torkjameh.com/141644-thickbox_default/خرید-لباس-مردانه-پیراهن-خاص-مردانه-آقایان-marc.jpg,[],[],[],[],[],[],[],10000000,10000000,[],[]
پیراهن آبی شیک,https://torkjameh.com/خرید-لباس-مردانه/48425-خرید-لباس-مردانه-پیراهن-آبی-شیک-آقایان-patirti.html,https://torkjameh.com/141621-thickbox_default/خرید-لباس-مردانه-پیراهن-آبی-شیک-آقایان-patirti.jpg,https://torkjameh.com/141622-thickbox_default/خرید-لباس-مردانه-پیراهن-آبی-شیک-آقایان-patirti.jpg,[],[],[],[],[],[],3700000,3700000,[],[]
پیراهن چهارخانه مردانه,https://torkjameh.com/خرید-لباس-مردانه/48424-خرید-لباس-مردانه-پیراهن-چهارخانه-مردانه-آقایان-patirti.html,https://torkjameh.com/141619-thickbox_default/خرید-لباس-مردانه-پیراهن-چهارخانه-مردانه-آقایان-patirti.jpg,https://torkjameh.com/141620-thickbox_default/خرید-لباس-مردانه-پیراهن-چهارخانه-مردانه-آقایان-patirti.jpg,[],[],[],[],[],[],2650000,2650000,[],[]
پیراهن طرحدار حدید,https://torkjameh.com/خرید-لباس-مردانه/48423-خرید-لباس-مردانه-پیراهن-طرحدار-حدید-آقایان-patirti.html,https://torkjameh.com/141618-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-حدید-آقایان-patirti.jpg,https://torkjameh.com/141617-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-حدید-آقایان-patirti.jpg,[],[],[],[],[],[],2550000,2550000,[],[]
پیراهن یقه دیپلمات,https://torkjameh.com/خرید-لباس-مردانه/48400-خرید-لباس-مردانه-پیراهن-یقه-دیپلمات-آقایان-koton.html,https://torkjameh.com/141572-thickbox_default/خرید-لباس-مردانه-پیراهن-یقه-دیپلمات-آقایان-koton.jpg,https://torkjameh.com/141573-thickbox_default/خرید-لباس-مردانه-پیراهن-یقه-دیپلمات-آقایان-koton.jpg,[],[],[],[],[],[],3350000,3350000,[], 
پیراهن طرحدار مشکی,https://torkjameh.com/خرید-لباس-مردانه/48397-خرید-لباس-مردانه-پیراهن-طرحدار-مشکی-آقایان-deepsea.html,https://torkjameh.com/141568-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-مشکی-آقایان-deepsea.jpg,https://torkjameh.com/141567-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-مشکی-آقایان-deepsea.jpg,[],[],[],[],[],[],1800000,1800000,[],[]
پیراهن طرحدار جدید,https://torkjameh.com/خرید-لباس-مردانه/48396-خرید-لباس-مردانه-پیراهن-طرحدار-جدید-آقایان-deepsea.html,https://torkjameh.com/141566-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-جدید-آقایان-deepsea.jpg,https://torkjameh.com/141565-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-جدید-آقایان-deepsea.jpg,[],[],[],[],[],[],1800000,1800000,[],[]
پیراهن شیک مردانه,https://torkjameh.com/خرید-لباس-مردانه/48395-خرید-لباس-مردانه-پیراهن-شیک-مردانه-آقایان-deepsea.html,https://torkjameh.com/141564-thickbox_default/خرید-لباس-مردانه-پیراهن-شیک-مردانه-آقایان-deepsea.jpg,https://torkjameh.com/141563-thickbox_default/خرید-لباس-مردانه-پیراهن-شیک-مردانه-آقایان-deepsea.jpg,[],[],[],[],[],[],1800000,1800000,[],[]
پیراهن طرحدار مردانه,https://torkjameh.com/خرید-لباس-مردانه/48382-خرید-لباس-مردانه-پیراهن-طرحدار-مردانه-آقایان-deepsea.html,https://torkjameh.com/141539-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-مردانه-آقایان-deepsea.jpg,https://torkjameh.com/141538-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-مردانه-آقایان-deepsea.jpg,[],[],[],[],[],[],2400000,2400000,[],[]
پیراهن مردانه شیک,https://torkjameh.com/خرید-لباس-مردانه/48374-خرید-لباس-مردانه-پیراهن-مردانه-شیک-آقایان-marc.html,https://torkjameh.com/141520-thickbox_default/خرید-لباس-مردانه-پیراهن-مردانه-شیک-آقایان-marc.jpg,[],[],[],[],[],[],[],4630000,4630000,[],[]
پیراهن اسپرت مردانه,https://torkjameh.com/خرید-لباس-مردانه/48373-خرید-لباس-مردانه-پیراهن-اسپرت-مردانه-آقایان-deepsea.html,https://torkjameh.com/141519-thickbox_default/خرید-لباس-مردانه-پیراهن-اسپرت-مردانه-آقایان-deepsea.jpg,[],[],[],[],[],[],[],2200000,2200000,[],[]
پیراهن مردانه جدید,https://torkjameh.com/خرید-لباس-مردانه/48369-خرید-لباس-مردانه-پیراهن-مردانه-جدید-آقایان-defacto.html,https://torkjameh.com/141392-thickbox_default/خرید-لباس-مردانه-پیراهن-مردانه-جدید-آقایان-defacto.jpg,https://torkjameh.com/141393-thickbox_default/خرید-لباس-مردانه-پیراهن-مردانه-جدید-آقایان-defacto.jpg,[],[],[],[],[],[],3200000,3200000,[],[]
پیراهن مردانه شیک,https://torkjameh.com/خرید-لباس-مردانه/47866-خرید-لباس-مردانه-پیراهن-مردانه-شیک-آقایان-deepsea.html,https://torkjameh.com/138213-thickbox_default/خرید-لباس-مردانه-پیراهن-مردانه-شیک-آقایان-deepsea.jpg,[],[],[],[],[],[],[],3100000,3100000,[],[]
پیراهن مردانه شیک,https://torkjameh.com/خرید-لباس-مردانه/47703-خرید-لباس-مردانه-پیراهن-مردانه-شیک-آقایان-lcwaikiki.html,https://torkjameh.com/136800-thickbox_default/خرید-لباس-مردانه-پیراهن-مردانه-شیک-آقایان-lcwaikiki.jpg,[],[],[],[],[],[],[],1600000,1600000,[],[]
پیراهن مردانه منگو,https://torkjameh.com/خرید-لباس-مردانه/47694-خرید-لباس-مردانه-پیراهن-مردانه-منگو-آقایان-mango.html,https://torkjameh.com/136781-thickbox_default/خرید-لباس-مردانه-پیراهن-مردانه-منگو-آقایان-mango.jpg,https://torkjameh.com/136782-thickbox_default/خرید-لباس-مردانه-پیراهن-مردانه-منگو-آقایان-mango.jpg,[],[],[],[],[],[],[],[],[],[]
پیراهن طرحدار مردانه,https://torkjameh.com/خرید-لباس-مردانه/47553-خرید-لباس-مردانه-پیراهن-طرحدار-مردانه-آقایان-.html,https://torkjameh.com/136376-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-مردانه-آقایان-.jpg,https://torkjameh.com/136377-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-مردانه-آقایان-.jpg,https://torkjameh.com/136378-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-مردانه-آقایان-.jpg,[],[],[],[],[],[],[],[],[]
پیراهن قهو ه ای پول اند بیر,https://torkjameh.com/خرید-لباس-مردانه/47499-خرید-لباس-مردانه-پیراهن-قهو-ه-ای-پول-اند-بیر-آقایان-.html,https://torkjameh.com/136266-thickbox_default/خرید-لباس-مردانه-پیراهن-قهو-ه-ای-پول-اند-بیر-آقایان-.jpg,https://torkjameh.com/136267-thickbox_default/خرید-لباس-مردانه-پیراهن-قهو-ه-ای-پول-اند-بیر-آقایان-.jpg,https://torkjameh.com/136268-thickbox_default/خرید-لباس-مردانه-پیراهن-قهو-ه-ای-پول-اند-بیر-آقایان-.jpg,[],[],[],[],[],2550000,2550000,[],[]
پیراهن طرحدار اچ اند ام,https://torkjameh.com/خرید-لباس-مردانه/47482-خرید-لباس-مردانه-پیراهن-طرحدار-اچ-اند-ام-آقایان-.html,https://torkjameh.com/136235-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-اچ-اند-ام-آقایان-.jpg,https://torkjameh.com/136236-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-اچ-اند-ام-آقایان-.jpg,https://torkjameh.com/136237-thickbox_default/خرید-لباس-مردانه-پیراهن-طرحدار-اچ-اند-ام-آقایان-.jpg,[],[],[],[],[],2800000,2800000,[],[]
پیراهن گلدار مردانه,https://torkjameh.com/خرید-لباس-مردانه/47481-خرید-لباس-مردانه-پیراهن-گلدار-مردانه-آقایان-.html,https://torkjameh.com/136231-thickbox_default/خرید-لباس-مردانه-پیراهن-گلدار-مردانه-آقایان-.jpg,https://torkjameh.com/136232-thickbox_default/خرید-لباس-مردانه-پیراهن-گلدار-مردانه-آقایان-.jpg,https://torkjameh.com/136233-thickbox_default/خرید-لباس-مردانه-پیراهن-گلدار-مردانه-آقایان-.jpg,https://torkjameh.com/136234-thickbox_default/خرید-لباس-مردانه-پیراهن-گلدار-مردانه-آقایان-.jpg,[],[],[],[],3800000,3800000,[],[]
پیراهن جدید ترک,https://torkjameh.com/خرید-لباس-مردانه/47455-خرید-لباس-مردانه-پیراهن-جدید-ترک-آقایان-.html,https://torkjameh.com/136161-thickbox_default/خرید-لباس-مردانه-پیراهن-جدید-ترک-آقایان-.jpg,https://torkjameh.com/136162-thickbox_default/خرید-لباس-مردانه-پیراهن-جدید-ترک-آقایان-.jpg,[],[],[],[],[],[],[],[],[],[]
پیراهن تابستانه polo,https://torkjameh.com/خرید-لباس-مردانه/47452-خرید-لباس-مردانه-پیراهن-تابستانه-polo-آقایان-.html,https://torkjameh.com/136159-thickbox_default/خرید-لباس-مردانه-پیراهن-تابستانه-polo-آقایان-.jpg,https://torkjameh.com/136160-thickbox_default/خرید-لباس-مردانه-پیراهن-تابستانه-polo-آقایان-.jpg,[],[],[],[],[],[],[],[],[],[]
پیراهن تابستانه پلو,https://torkjameh.com/خرید-لباس-مردانه/47451-خرید-لباس-مردانه-پیراهن-تابستانه-پلو-آقایان-.html,https://torkjameh.com/136155-thickbox_default/خرید-لباس-مردانه-پیراهن-تابستانه-پلو-آقایان-.jpg,https://torkjameh.com/136156-thickbox_default/خرید-لباس-مردانه-پیراهن-تابستانه-پلو-آقایان-.jpg,[],[],[],[],[],[],[],[],[],[]
پیراهن تابستانه پلو,https://torkjameh.com/خرید-لباس-مردانه/47450-خرید-لباس-مردانه-پیراهن-تابستانه-پلو-آقایان-.html,https://torkjameh.com/136150-thickbox_default/خرید-لباس-مردانه-پیراهن-تابستانه-پلو-آقایان-.jpg,https://torkjameh.com/136151-thickbox_default/خرید-لباس-مردانه-پیراهن-تابستانه-پلو-آقایان-.jpg,https://torkjameh.com/136152-thickbox_default/خرید-لباس-مردانه-پیراهن-تابستانه-پلو-آقایان-.jpg,[],[],[],[],[],[],[],[],[]
پیراهن تابستانه پلو,https://torkjameh.com/خرید-لباس-مردانه/47449-خرید-لباس-مردانه-پیراهن-تابستانه-پلو-آقایان-.html,https://torkjameh.com/136148-thickbox_default/خرید-لباس-مردانه-پیراهن-تابستانه-پلو-آقایان-.jpg,https://torkjameh.com/136149-thickbox_default/خرید-لباس-مردانه-پیراهن-تابستانه-پلو-آقایان-.jpg,[],[],[],[],[],[],[],[],[],[]
پیراهن تابستانه پلو,https://torkjameh.com/خرید-لباس-مردانه/47448-خرید-لباس-مردانه-پیراهن-تابستانه-پلو-آقایان-.html,https://torkjameh.com/136146-thickbox_default/خرید-لباس-مردانه-پیراهن-تابستانه-پلو-آقایان-.jpg,https://torkjameh.com/136147-thickbox_default/خرید-لباس-مردانه-پیراهن-تابستانه-پلو-آقایان-.jpg,[],[],[],[],[],[],[],[],[],[]
پیراهن جین مردانه ماوی,https://torkjameh.com/خرید-لباس-مردانه/47418-خرید-لباس-مردانه-پیراهن-جین-مردانه-ماوی-آقایان-mavi.html,https://torkjameh.com/136067-thickbox_default/خرید-لباس-مردانه-پیراهن-جین-مردانه-ماوی-آقایان-mavi.jpg,https://torkjameh.com/136066-thickbox_default/خرید-لباس-مردانه-پیراهن-جین-مردانه-ماوی-آقایان-mavi.jpg,[],[],[],[],[],[],4950000,4950000,[],[]
