Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Ninth Image,Tenth Image,Price,Value of Discount,Collar,Sleeve
2333693-شلوار-مردانه-دیان-کد-414-رنگ-مشکی?size_id=409,https://www.digistyle.com/product/2333693-شلوار-مردانه-دیان-کد-414-رنگ-مشکی?size_id=409,https://dkstatics-public.digikala.com/digikala-products/115161526.jpg,https://dkstatics-public.digikala.com/digikala-products/115161541.jpg,https://dkstatics-public.digikala.com/digikala-products/115161539.jpg,https://dkstatics-public.digikala.com/digikala-products/115632682.jpg,[],[],[],[],[],[],1780000,330000,[],[]
2333693-شلوار-مردانه-دیان-کد-414-رنگ-مشکی,https://www.digistyle.com/product/2333693-شلوار-مردانه-دیان-کد-414-رنگ-مشکی,https://dkstatics-public.digikala.com/digikala-products/115161526.jpg,https://dkstatics-public.digikala.com/digikala-products/115161541.jpg,https://dkstatics-public.digikala.com/digikala-products/115161539.jpg,https://dkstatics-public.digikala.com/digikala-products/115632682.jpg,[],[],[],[],[],[],1780000,330000,[],[]
4170781-شلوار-مردانه-کوتون-مدل-8yam41927nw-69f,https://www.digistyle.com/product/4170781-شلوار-مردانه-کوتون-مدل-8yam41927nw-69f,https://dkstatics-public.digikala.com/digikala-products/57e0a2753e518051dda07a32a9efa8ae81d8d9a5_1610453945.jpg,https://dkstatics-public.digikala.com/digikala-products/0e3d161f21f8ed53d5280efa13ae5b8809d4665c_1610453946.jpg,https://dkstatics-public.digikala.com/digikala-products/0321b00012db1038bbe9e03f6cdcabb1606eaa8b_1610453952.jpg,https://dkstatics-public.digikala.com/digikala-products/c18db1fb3c58092986aefb7d53138b0974bc2499_1610453953.jpg,https://dkstatics-public.digikala.com/digikala-products/19cbcd48d32ac827608480bf32c135c2a44fd134_1610453955.jpg,[],[],[],[],[],6490000,3890000,[],[]
4170781-شلوار-مردانه-کوتون-مدل-8yam41927nw-69f?size_id=2582,https://www.digistyle.com/product/4170781-شلوار-مردانه-کوتون-مدل-8yam41927nw-69f?size_id=2582,https://dkstatics-public.digikala.com/digikala-products/57e0a2753e518051dda07a32a9efa8ae81d8d9a5_1610453945.jpg,https://dkstatics-public.digikala.com/digikala-products/0e3d161f21f8ed53d5280efa13ae5b8809d4665c_1610453946.jpg,https://dkstatics-public.digikala.com/digikala-products/0321b00012db1038bbe9e03f6cdcabb1606eaa8b_1610453952.jpg,https://dkstatics-public.digikala.com/digikala-products/c18db1fb3c58092986aefb7d53138b0974bc2499_1610453953.jpg,https://dkstatics-public.digikala.com/digikala-products/19cbcd48d32ac827608480bf32c135c2a44fd134_1610453955.jpg,[],[],[],[],[],6490000,3890000,[],[]
4170781-شلوار-مردانه-کوتون-مدل-8yam41927nw-69f?size_id=2583,https://www.digistyle.com/product/4170781-شلوار-مردانه-کوتون-مدل-8yam41927nw-69f?size_id=2583,https://dkstatics-public.digikala.com/digikala-products/57e0a2753e518051dda07a32a9efa8ae81d8d9a5_1610453945.jpg,https://dkstatics-public.digikala.com/digikala-products/0e3d161f21f8ed53d5280efa13ae5b8809d4665c_1610453946.jpg,https://dkstatics-public.digikala.com/digikala-products/0321b00012db1038bbe9e03f6cdcabb1606eaa8b_1610453952.jpg,https://dkstatics-public.digikala.com/digikala-products/c18db1fb3c58092986aefb7d53138b0974bc2499_1610453953.jpg,https://dkstatics-public.digikala.com/digikala-products/19cbcd48d32ac827608480bf32c135c2a44fd134_1610453955.jpg,[],[],[],[],[],6490000,3890000,[],[]
4170781-شلوار-مردانه-کوتون-مدل-8yam41927nw-69f?size_id=2584,https://www.digistyle.com/product/4170781-شلوار-مردانه-کوتون-مدل-8yam41927nw-69f?size_id=2584,https://dkstatics-public.digikala.com/digikala-products/57e0a2753e518051dda07a32a9efa8ae81d8d9a5_1610453945.jpg,https://dkstatics-public.digikala.com/digikala-products/0e3d161f21f8ed53d5280efa13ae5b8809d4665c_1610453946.jpg,https://dkstatics-public.digikala.com/digikala-products/0321b00012db1038bbe9e03f6cdcabb1606eaa8b_1610453952.jpg,https://dkstatics-public.digikala.com/digikala-products/c18db1fb3c58092986aefb7d53138b0974bc2499_1610453953.jpg,https://dkstatics-public.digikala.com/digikala-products/19cbcd48d32ac827608480bf32c135c2a44fd134_1610453955.jpg,[],[],[],[],[],6490000,3890000,[],[]
4170781-شلوار-مردانه-کوتون-مدل-8yam41927nw-69f,https://www.digistyle.com/product/4170781-شلوار-مردانه-کوتون-مدل-8yam41927nw-69f,https://dkstatics-public.digikala.com/digikala-products/57e0a2753e518051dda07a32a9efa8ae81d8d9a5_1610453945.jpg,https://dkstatics-public.digikala.com/digikala-products/0e3d161f21f8ed53d5280efa13ae5b8809d4665c_1610453946.jpg,https://dkstatics-public.digikala.com/digikala-products/0321b00012db1038bbe9e03f6cdcabb1606eaa8b_1610453952.jpg,https://dkstatics-public.digikala.com/digikala-products/c18db1fb3c58092986aefb7d53138b0974bc2499_1610453953.jpg,https://dkstatics-public.digikala.com/digikala-products/19cbcd48d32ac827608480bf32c135c2a44fd134_1610453955.jpg,[],[],[],[],[],6490000,3890000,[],[]
1919336-شلوار-مردانه-کد-131,https://www.digistyle.com/product/1919336-شلوار-مردانه-کد-131,https://dkstatics-public.digikala.com/digikala-products/112780768.jpg,https://dkstatics-public.digikala.com/digikala-products/b5384a8603a40e74ba94d090d16b2dde82e11279_1617607580.jpg,https://dkstatics-public.digikala.com/digikala-products/112780791.jpg,https://dkstatics-public.digikala.com/digikala-products/112780793.jpg,https://dkstatics-public.digikala.com/digikala-products/112780797.jpg,https://dkstatics-public.digikala.com/digikala-products/112780798.jpg,https://dkstatics-public.digikala.com/digikala-products/112780799.jpg,https://dkstatics-public.digikala.com/digikala-products/112780801.jpg,https://dkstatics-public.digikala.com/digikala-products/dd898c8f5ab9f2a083335d5eb052226c29e2c26c_1593939677.jpg,[],1500000,75000,[],[]
1919336-شلوار-مردانه-کد-131?size_id=2584,https://www.digistyle.com/product/1919336-شلوار-مردانه-کد-131?size_id=2584,https://dkstatics-public.digikala.com/digikala-products/112780768.jpg,https://dkstatics-public.digikala.com/digikala-products/b5384a8603a40e74ba94d090d16b2dde82e11279_1617607580.jpg,https://dkstatics-public.digikala.com/digikala-products/112780791.jpg,https://dkstatics-public.digikala.com/digikala-products/112780793.jpg,https://dkstatics-public.digikala.com/digikala-products/112780797.jpg,https://dkstatics-public.digikala.com/digikala-products/112780798.jpg,https://dkstatics-public.digikala.com/digikala-products/112780799.jpg,https://dkstatics-public.digikala.com/digikala-products/112780801.jpg,https://dkstatics-public.digikala.com/digikala-products/dd898c8f5ab9f2a083335d5eb052226c29e2c26c_1593939677.jpg,[],1500000,75000,[],[]
1919336-شلوار-مردانه-کد-131?size_id=2585,https://www.digistyle.com/product/1919336-شلوار-مردانه-کد-131?size_id=2585,https://dkstatics-public.digikala.com/digikala-products/112780768.jpg,https://dkstatics-public.digikala.com/digikala-products/b5384a8603a40e74ba94d090d16b2dde82e11279_1617607580.jpg,https://dkstatics-public.digikala.com/digikala-products/112780791.jpg,https://dkstatics-public.digikala.com/digikala-products/112780793.jpg,https://dkstatics-public.digikala.com/digikala-products/112780797.jpg,https://dkstatics-public.digikala.com/digikala-products/112780798.jpg,https://dkstatics-public.digikala.com/digikala-products/112780799.jpg,https://dkstatics-public.digikala.com/digikala-products/112780801.jpg,https://dkstatics-public.digikala.com/digikala-products/dd898c8f5ab9f2a083335d5eb052226c29e2c26c_1593939677.jpg,[],1500000,75000,[],[]
