Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Price,Value of Discount,Collar,Sleeve
پبراهن مردانه کامیچی سیما مدل VERONA,https://rosha.ir/cm-verona-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_verona.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_verona.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_verona.jpg,[],[],[],[],[],13080000,13080000,بلند,[]
پبراهن مردانه کامیچی سیما مدل UDINE,https://rosha.ir/cm-udine-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_udine.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_udine.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_udine.jpg,[],[],[],[],[],13080000,13080000,بلند,[]
پبراهن مردانه کامیچی سیما مدل FIRENZE,https://rosha.ir/cm-firenze-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_firenze.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_firenze.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_firenze.jpg,[],[],[],[],[],13080000,13080000,بلند,[]
پبراهن مردانه کامیچی سیما مدل PESARO,https://rosha.ir/cm-pesaro-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_pesaro.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_pesaro.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_pesaro.jpg,[],[],[],[],[],13080000,13080000,بلند,[]
پبراهن مردانه کامیچی سیما مدل TORINO,https://rosha.ir/cm-torino-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_torino.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_torino.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_torino.jpg,[],[],[],[],[],13080000,13080000,بلند,[]
پبراهن مردانه کامیچی سیما مدل CAPRI,https://rosha.ir/cm-capri-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_capri.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_capri.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_capri.jpg,[],[],[],[],[],13080000,13080000,بلند,[]
پبراهن مردانه کامیچی سیما مدل PARMA,https://rosha.ir/cm-parma-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_parma.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_parma.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_parma.jpg,[],[],[],[],[],13080000,13080000,بلند,[]
پبراهن مردانه کامیچی سیما مدل ALGHERO,https://rosha.ir/cm-alghero-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_alghero.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_alghero.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_alghero.jpg,[],[],[],[],[],13080000,13080000,بلند,[]
پبراهن مردانه کامیچی سیما مدل URBINO,https://rosha.ir/cm-urbino-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_urbino.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_urbino.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_urbino.jpg,[],[],[],[],[],13080000,13080000,بلند,[]
پبراهن مردانه کامیچی سیما مدل CCCRLEPBG,https://rosha.ir/cm-cccrlepbg-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_cccrlepbg.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_cccrlepbg.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_cccrlepbg.jpg,[],[],[],[],[],10900000,10900000,بلند,[]
