Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Price,Discounted Price,Collar
MENS PLAIN  SHIRT-WALTER,https://www.salian.com/men/clothes/casual-shirt/mens-plain-shirt-walter.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63410_1620544025.jpg?tp=1851898113,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63410_1620544031.jpg?tp=737840829,[],[],[],[],[],[],4800000,3600000,[]
MENS STRIPED SHIRT-WAITER,https://www.salian.com/men/clothes/casual-shirt/mens-striped-shirt-waiter.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63404_1620535850.jpg?tp=1413839257,[],[],[],[],[],[],[],4500000,3375000,[]
MENS PRINTED SHIRT-WESTROOK,https://www.salian.com/men/clothes/casual-shirt/mens-printed-shirt-westrook.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63197_1621230163.jpg?tp=1518511478,[],[],[],[],[],[],[],3850000,2887500,[]
MENS CHECKED SHIRT-WATKINS,https://www.salian.com/men/clothes/casual-shirt/mens-checked-shirt-watkins.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63181_1620456224.jpg?tp=1339423845,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63181_1620456231.jpg?tp=750911573,[],[],[],[],[],[],4800000,3600000,[]
MENS CHECKED SHIRT-DERKAS,https://www.salian.com/men/clothes/casual-shirt/mens-checked-shirt-derkas.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63175_1618599771.jpg?tp=257974984,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63175_1618599776.jpg?tp=1132756629,[],[],[],[],[],[],4900000,3675000,[]
MENS CHECHKED SHIRT-WIPLY,https://www.salian.com/men/clothes/casual-shirt/mens-chechked-shirt-wiply.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63169_1619433325.jpg?tp=2063611031,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63169_1619433329.jpg?tp=1976887952,[],[],[],[],[],[],5550000,4162500,[]
MENS CHECKED SHIRT-WYAM,https://www.salian.com/men/clothes/casual-shirt/mens-checked-shirt-wyam.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_63163_1621428245.jpg?tp=1174758405,[],[],[],[],[],[],[],4750000,3562500,[]
MENS SHIRT WITH HOOD-FLEMMER,https://www.salian.com/men/clothes/casual-shirt/mens-shirt-with-hood-flemmer.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_61987_1621354637.jpg?tp=982148566,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_61987_1621354640.jpg?tp=195669877,[],[],[],[],[],[],5280000,3960000,[]
MENS PLAIN SHIRT-WOLDER,https://www.salian.com/men/clothes/casual-shirt/mens-plain-shirt-wolder.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_61720_1621499040.jpg?tp=1022370325,[],[],[],[],[],[],[],3950000,2962500,[]
MENS STRIPED SHIRT-CLADY,https://www.salian.com/men/clothes/casual-shirt/mens-striped-shirt-clady.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60140_1618228780.jpg?tp=566735415,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60140_1618228784.jpg?tp=332104921,[],[],[],[],[],[],5950000,4462500,[]
MENS PRINTED SHIRT-WESTCOTT,https://www.salian.com/men/clothes/casual-shirt/mens-printed-shirt-westcott.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60115_1620630394.jpg?tp=852919691,[],[],[],[],[],[],[],3980000,2985000,[]
MENS PLAIN SHIRT-MARKAN,https://www.salian.com/men/clothes/casual-shirt/mens-plain-shirt-markan.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60099_1620630295.jpg?tp=1355315208,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60099_1620630299.jpg?tp=269361304,[],[],[],[],[],[],5500000,4125000,[]
MENS CHECKED SHIRT-WIPER,https://www.salian.com/men/clothes/casual-shirt/mens-checked-shirt-wiper.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60080_1618768834.jpg?tp=902570871,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60080_1618768839.jpg?tp=1562271034,[],[],[],[],[],[],5600000,3920000,[]
MENS CHECKED SHIRT-DANLIN,https://www.salian.com/men/clothes/casual-shirt/mens-checked-shirt-danlin.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_59051_1621228744.jpg?tp=1752263015,[],[],[],[],[],[],[],5500000,4125000,[]
MENS STRIPED SHIRT-BERNIN,https://www.salian.com/men/clothes/casual-shirt/mens-striped-shirt-bernin.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_59039_1621229359.jpg?tp=1099892588,[],[],[],[],[],[],[],3850000,2887500,[]
MENS CHECKED SHIRT-DOMING,https://www.salian.com/men/clothes/casual-shirt/mens-checked-shirt-doming.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_59007_1620629571.jpg?tp=1139753586,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_59007_1620629580.jpg?tp=1890682710,[],[],[],[],[],[],5500000,4125000,[]
MENS PLAIN SHIRT- WAYMON,https://www.salian.com/men/clothes/casual-shirt/mens-plain-shirt-waymon.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_59001_1620629716.jpg?tp=371659106,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_59001_1620629723.jpg?tp=1866954742,[],[],[],[],[],[],5800000,4350000,[]
