Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Price,Discounted Price,Collar
MENS STRIPED PANT-MELFORD,https://www.salian.com/men/clothes/pants/mens-striped-pant-melford.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60831_1621067237.jpg?tp=2102811147,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60831_1621067247.jpg?tp=1321347397,[],[],[],[],[],[],2780000,2085000,[]
MENS DOUBLE CUFF PANT-WRIGHT,https://www.salian.com/men/clothes/pants/mens-double-cuff-pant-wright.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60762_1621159397.jpg?tp=2137414305,[],[],[],[],[],[],[],9800000,7350000,[]
MENS SLIM DENIM PANT-ANSON-Z,https://www.salian.com/men/clothes/pants/mens-slim-denim-pant-anson-z.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60743_1621139156.jpg?tp=293547946,[],[],[],[],[],[],[],4980000,3735000,[]
MENS NORMAL DENIM PANT-MILO,https://www.salian.com/men/clothes/pants/mens-normal-denim-pant-milo.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60730_1621429807.jpg?tp=163255348,[],[],[],[],[],[],[],4980000,3735000,[]
MENS NORMAL DENIM PANT-MESI-Z,https://www.salian.com/men/clothes/pants/mens-normal-denim-pant-mesi-z.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60705_1620922111.jpg?tp=175859068,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60705_1620922117.jpg?tp=1886405760,[],[],[],[],[],[],4980000,3735000,[]
MENS REGULAR DENIM PANT-MESAN,https://www.salian.com/men/clothes/pants/mens-regular-denim-pant-mesan.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60688_1619260492.jpg?tp=1064350138,[],[],[],[],[],[],[],4980000,3735000,[]
MENS CHINO PANT-KITO,https://www.salian.com/men/clothes/pants/mens-chino-pant-kito.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60671_1620309167.jpg?tp=1456603840,[],[],[],[],[],[],[],9200000,6900000,[]
MENS CHINO PANT-PINDO,https://www.salian.com/men/clothes/pants/mens-chino-pant-pindo.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60640_1620630550.jpg?tp=788868343,[],[],[],[],[],[],[],9200000,6900000,[]
MENS DOUBLE CUFF PANT-WYNTER,https://www.salian.com/men/clothes/pants/mens-double-cuff-pant-wynter.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60615_1620308961.jpg?tp=1682671468,[],[],[],[],[],[],[],9200000,6900000,[]
MENS SWEAT PANT-DIESEL,https://www.salian.com/men/clothes/pants/mens-sweat-pant-diesel.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60590_1621483849_1.jpg?tp=259570208,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_60590_1621483849.jpg?tp=488612447,[],[],[],[],[],[],4350000,3262500,[]
MENS CHINO PANT-OVERD,https://www.salian.com/men/clothes/pants/mens-chino-pant-overd.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_52417_1620628556.jpg?tp=793599870,[],[],[],[],[],[],[],7750000,5812500,[]
MENS CHINO PANT-TOM,https://www.salian.com/men/clothes/pants/mens-chino-pant-tom.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_52354_1620048462.jpg?tp=1247189061,[],[],[],[],[],[],[],7750000,5812500,[]
MENS CHINO PANT-TILON,https://www.salian.com/men/clothes/pants/mens-chino-pant-tilon.html,https://www.salian.com/media/catalog/product/cache/4/thumbnail/9df78eab33525d08d6e5fb8d27136e95/p/r/product_image_52323_1620628609.jpg?tp=1372440521,[],[],[],[],[],[],[],7750000,5812500,[]
