Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Price,Discounted price
تی شرت Oversize طرح eat – sleep – ART – repeat,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-eat-sleep-art-repeat/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-30.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح I smile,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-i-smile/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-29.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح hands-free Knots,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-hands-free-knots/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-28.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Fighter Insect,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-fighter-insect/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-27.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح I’m Pizza,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-im-pizza/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-26.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح shutter,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-shutter/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-25.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Flying,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-flying/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-24.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Life Is Damn Good,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-life-is-damn-good/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-23.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Guitarist,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-guitarist-2/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-22.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Text,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-text/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-21.jpg,[],[],[],[],2250000,2250000
